smiles,D
O=CC(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.404616
O=[N+]([O-])c1cc([N+](=O)[O-])c([N+](=O)[O-])cc1-c1cccc([N+](=O)[O-])c1[N+](=O)[O-],7.0396957
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nc([N+](=O)[O-])n[nH]2)c([N+](=O)[O-])c1,7.6640162
O=[N+]([O-])N1CN(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,8.567409
N#CCC(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.981991
O=[N+]([O-])N=C1NCNC(N2CN3CN([N+](=O)[O-])CCC([N+](=O)[O-])([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])CN32)N1,7.485131
O=C(N[N+](=O)[O-])OC#CN(CN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.484375
CC(=O)N1C(=O)N([N+](=O)[O-])C2(C)N(CO[N+](=O)[O-])C(=O)N([N+](=O)[O-])C12C,7.1796913
N#[N+]C[N+]([O-])O,8.031075
O=C(CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.61296
NC(=O)N1C(=O)NC2C1N([N+](=O)[O-])CN2N,7.292181
CC(CN(CCC(CCN(C(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.9763026
O=[N+]([O-])C1=C([N+](=O)[O-])NCN2CN(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C2=N1,8.16361
O=[N+]([O-])C(COCC(F)([N+](=O)[O-])[N+](=O)[O-])(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.425468
O=[N+]([O-])c1cc([N+](=O)[O-])c(COC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,8.394216
O=C(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.62356
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c2[N+](=O)[O-])c1[N+](=O)[O-],7.300214
O=[N+]([O-])c1nn[nH]n1,8.700403
CN(CC(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.329127
O=[N+]([O-])NCCN1CCN([N+](=O)[O-])C2C1N([N+](=O)[O-])CCN2c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],7.1079383
[O-][n+]1onc(-n2nccn2)c1-c1c[nH]nn1,7.487154
O=Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,7.185838
CC(CNCC(=O)OCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.9729705
O=C(O)C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.379099
CC(=O)OCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.393292
O=[N+]([O-])NCO[N+](=O)[O-],8.886868
CC(CCN(CN(C(=O)C(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.422336
CC(CCN(C(=O)CCC(CC(CC(CCC(N)=O)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.4523454
CCC(CCN(CC(CC)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.0479403
CN(CCN(C(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.202822
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,7.591117
O=[N+]([O-])c1cc([N+](=O)[O-])c(CNCNO)c([N+](=O)[O-])c1,6.8567843
CC(CCN(C(=O)OCC(COC(=O)C(=O)N(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.567255
CN(CN(CN(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.4689584
O=[N+]([O-])c1cnn(OCCOc2[nH]c([N+](=O)[O-])nc2[N+](=O)[O-])c1,7.107998
O=[N+]([O-])OCCNc1c([N+](=O)[O-])c(OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c(-c2nonc2[N+](=O)[O-])c1[N+](=O)[O-],8.656073
CC(=O)N1C(=O)N(CCCO[N+](=O)[O-])C2(C)N([N+](=O)[O-])C(=O)N([N+](=O)[O-])C12C,6.728917
O=C(C(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,6.8581357
O=C(CCC(CNCN[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CN[N+](=O)[O-],7.3377757
N#[N+]C([O-])C(CN[N+](=O)[O-])(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-],8.166918
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O)N(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.7635045
CCOCN(CCO[N+](=O)[O-])[N+](=O)[O-],6.7373257
N#CCN(CC[N+](=O)[O-])[N+](=O)[O-],7.0593266
O=[N+]([O-])c1ncnc(COCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],8.162996
O=[N+]([O-])c1cnc([N+](=O)[O-])cn2nn[nH]cc-2c1,6.92006
O=C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.2526455
O=[N+]([O-])N(OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.589444
Cn1nc([N+](=O)[O-])c(C(=O)OCC(C)(C)[N+](=O)[O-])c1[N+](=O)[O-],6.6822925
Nc1c([N+](=O)[O-])c([N+](=O)[O-])nc([N+](=O)[O-])c1[N+](=O)[O-],8.59499
CCOCC1=C([N+](=O)[O-])c2c([N+](=O)[O-])c(N(CC)[N+](=O)[O-])c([N+](=O)[O-])c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3ncn21,6.601068
O=C(CCC(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.15348
CC(C)(CON(CCN(C(=O)OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.850905
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cn2nnc3cc([N+](=O)[O-])c([N+](=O)[O-])cc32)c([N+](=O)[O-])c1,7.119883
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC(=O)NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.01136
O=[N+]([O-])c1cc([N+](=O)[O-])c(CN(CN(CCO)[N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,7.338348
O=[N+]([O-])c1cc([N+](=O)[O-])c(CN(Cn2cc([N+](=O)[O-])cn2)[N+](=O)[O-])c([N+](=O)[O-])c1,7.2493606
CC(=O)N(CC(C)N[N+](=O)[O-])[N+](=O)[O-],6.6952195
CC(CCNCNO)([N+](=O)[O-])[N+](=O)[O-],6.9014626
O=[N+]([O-])c1cc([N+](=O)[O-])c([N+](=O)[O-])nc1-n1ccnc1,7.0687237
O=C(OCC(COCN[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N1CNC(=N[N+](=O)[O-])NC1,7.546512
O=[N+]([O-])c1ccc(-c2nc(Cc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,6.8376794
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCNC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.946942
CN(CCN(C(=O)C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.8991084
O=[N+]([O-])C1=NON=C2N(O)CN2CN([N+](=O)[O-])CN2CN([N+](=O)[O-])CCC([N+](=O)[O-])([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])CN12,7.7484474
CCC(CNN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.261643
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2c([N+](=O)[O-])nnc2[N+](=O)[O-])c([N+](=O)[O-])c1O,8.215088
O=C(CO)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.4469438
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCNC(=O)N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.308301
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC#COCN[N+](=O)[O-],7.648835
O=[N+]([O-])C(O)([N+](=O)[O-])[N+](=O)[O-],9.041494
CN(CC(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.891017
